transaction_id;date;customer_id;product_id;quantity;campaign_id
1;4/5/23;C1020;P120;3;MC1001
2;23/7/23;C1042;P105;1;MC1003
3;30/6/23;C1005;P109;9;MC1005
4;29/5/23;C1031;P112;9;MC1001
5;12/6/23;C1047;P114;6;MC1002
6;8/11/23;C1004;P120;3;MC1001
7;6/3/23;C1028;P120;7;MC1005
8;14/4/23;C1013;P118;10;MC1001
9;3/7/23;C1020;P108;3;MC1002
10;2/5/23;C1027;P107;7;MC1002
11;29/8/23;C1011;P102;5;MC1005
12;22/10/23;C1029;P108;8;MC1003
13;3/1/23;C1043;P118;4;MC1002
14;23/3/23;C1004;P109;9;MC1002
15;11/4/23;C1028;P113;3;MC1005
16;12/10/23;C1034;P113;10;MC1001
17;8/3/23;C1050;P107;1;MC1005
18;11/12/23;C1040;P116;10;MC1002
19;10/9/23;C1012;P101;2;MC1003
20;26/1/23;C1041;P113;7;MC1001
21;18/10/23;C1021;P103;1;MC1003
22;16/5/23;C1005;P104;1;MC1002
23;19/8/23;C1041;P110;9;MC1005
24;27/12/23;C1024;P112;10;MC1003
25;20/3/23;C1022;P106;9;MC1002
26;7/4/23;C1042;P118;7;MC1001
27;15/4/23;C1006;P120;3;MC1004
28;20/5/23;C1043;P119;3;MC1005
29;17/4/23;C1009;P101;4;MC1001
30;17/3/23;C1039;P108;4;MC1003
31;29/12/23;C1040;P104;3;MC1003
32;19/8/23;C1024;P108;4;MC1001
33;15/6/23;C1003;P101;2;MC1003
34;20/8/23;C1010;P110;1;MC1003
35;12/12/23;C1013;P101;1;MC1003
36;3/1/23;C1039;P113;1;MC1005
37;21/11/23;C1024;P119;3;MC1004
38;15/2/23;C1024;P114;2;MC1001
39;11/7/23;C1040;P109;9;MC1002
40;5/5/23;C1022;P115;5;MC1002
41;19/11/23;C1034;P107;5;MC1002
42;1/1/23;C1044;P101;5;MC1003
43;6/8/23;C1022;P109;7;MC1003
44;23/8/23;C1034;P102;5;MC1005
45;14/11/23;C1001;P115;7;MC1003
46;27/1/23;C1004;P119;9;MC1005
47;22/6/23;C1015;P113;2;MC1002
48;13/3/23;C1050;P106;1;MC1004
49;13/6/23;C1040;P108;8;MC1005
50;10/10/23;C1039;P107;4;MC1002
51;21/5/23;C1032;P102;1;MC1004
52;6/3/23;C1027;P116;3;MC1005
53;22/10/23;C1045;P101;8;MC1003
54;15/10/23;C1037;P104;7;MC1004
55;13/4/23;C1004;P113;7;MC1005
56;1/1/23;C1009;P104;7;MC1001
57;3/3/23;C1035;P109;2;MC1004
58;30/6/23;C1039;P120;5;MC1002
59;1/12/23;C1022;P106;7;MC1004
60;21/9/23;C1025;P113;7;MC1002
61;26/6/23;C1048;P101;4;MC1005
62;20/3/23;C1024;P120;4;MC1002
63;7/11/23;C1041;P116;3;MC1003
64;21/10/23;C1007;P115;8;MC1004
65;21/5/23;C1048;P117;10;MC1005
66;20/12/23;C1004;P120;4;MC1002
67;28/8/23;C1005;P111;4;MC1002
68;6/10/23;C1018;P113;4;MC1003
69;29/3/23;C1001;P109;8;MC1001
70;6/10/23;C1020;P115;9;MC1001
71;9/1/23;C1023;P105;3;MC1002
72;2/10/23;C1037;P101;4;MC1002
73;20/9/23;C1048;P116;2;MC1002
74;10/4/23;C1039;P109;5;MC1001
75;31/1/23;C1046;P113;3;MC1004
76;8/9/23;C1047;P104;2;MC1004
77;7/5/23;C1007;P108;7;MC1001
78;16/10/23;C1023;P120;6;MC1001
79;9/11/23;C1002;P105;5;MC1003
80;22/11/23;C1018;P102;3;MC1004
81;14/11/23;C1039;P109;10;MC1004
82;6/5/23;C1032;P115;6;MC1001
83;11/2/23;C1020;P110;8;MC1004
84;30/8/23;C1019;P111;4;MC1003
85;26/8/23;C1034;P101;7;MC1004
86;23/8/23;C1010;P111;8;MC1001
87;11/2/23;C1013;P116;5;MC1001
88;18/5/23;C1020;P109;4;MC1003
89;8/9/23;C1036;P110;9;MC1003
90;29/7/23;C1007;P104;6;MC1005
91;19/10/23;C1001;P119;7;MC1003
92;21/11/23;C1010;P103;10;MC1005
93;31/5/23;C1020;P115;10;MC1003
94;17/12/23;C1014;P120;6;MC1002
95;26/2/23;C1040;P104;2;MC1003
96;2/6/23;C1048;P116;1;MC1005
97;31/5/23;C1035;P119;5;MC1004
98;7/4/23;C1037;P115;6;MC1003
99;5/12/23;C1041;P112;9;MC1005
100;17/8/23;C1047;P118;8;MC1003
101;30/10/23;C1044;P111;1;MC1001
102;30/7/23;C1024;P109;3;MC1001
103;19/10/23;C1035;P105;8;MC1002
104;15/11/23;C1007;P120;7;MC1003
105;17/4/23;C1025;P115;10;MC1002
106;20/1/23;C1022;P120;6;MC1001
107;9/7/23;C1050;P113;4;MC1003
108;19/10/23;C1013;P105;1;MC1002
109;10/2/23;C1048;P116;5;MC1001
110;6/3/23;C1024;P113;7;MC1002
111;17/6/23;C1009;P115;1;MC1004
112;2/12/23;C1004;P105;9;MC1005
113;3/10/23;C1048;P115;3;MC1005
114;23/3/23;C1014;P106;2;MC1003
115;1/2/23;C1048;P110;7;MC1002
116;20/2/23;C1006;P101;4;MC1002
117;3/9/23;C1013;P101;1;MC1004
118;23/8/23;C1035;P106;7;MC1005
119;18/3/23;C1050;P102;6;MC1001
120;30/3/23;C1040;P110;5;MC1001
121;15/5/23;C1034;P118;2;MC1002
122;25/9/23;C1012;P114;1;MC1002
123;18/12/23;C1032;P110;8;MC1001
